GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
metabolic process (GO:0008152)	8131	1241	887.78	+	1.40	4.80E-46	2.51E-42
cellular biosynthetic process (GO:0044249)	2464	376	269.03	+	1.40	4.26E-10	7.26E-08
positive regulation of nitrogen compound metabolic process (GO:0051173)	3174	484	346.55	+	1.40	4.85E-13	1.29E-10
apoptotic process (GO:0006915)	1033	157	112.79	+	1.39	1.40E-04	7.84E-03
immune system development (GO:0002520)	757	115	82.65	+	1.39	1.14E-03	4.63E-02
response to nitrogen compound (GO:1901698)	1062	161	115.95	+	1.39	1.15E-04	6.71E-03
response to organonitrogen compound (GO:0010243)	968	146	105.69	+	1.38	2.99E-04	1.50E-02
negative regulation of metabolic process (GO:0009892)	2988	448	326.24	+	1.37	4.94E-11	1.03E-08
proteolysis (GO:0006508)	1266	189	138.23	+	1.37	6.07E-05	3.90E-03
positive regulation of protein modification process (GO:0031401)	1019	152	111.26	+	1.37	3.43E-04	1.71E-02
cellular component organization (GO:0016043)	5523	822	603.03	+	1.36	1.26E-21	9.88E-19
regulation of cell death (GO:0010941)	1654	246	180.59	+	1.36	5.24E-06	4.33E-04
negative regulation of macromolecule metabolic process (GO:0010605)	2764	411	301.79	+	1.36	9.78E-10	1.55E-07
negative regulation of nitrogen compound metabolic process (GO:0051172)	2409	358	263.03	+	1.36	1.82E-08	2.14E-06
regulation of response to stress (GO:0080134)	1373	204	149.91	+	1.36	3.70E-05	2.57E-03
positive regulation of macromolecule metabolic process (GO:0010604)	3542	526	386.73	+	1.36	1.88E-12	4.74E-10
negative regulation of biosynthetic process (GO:0009890)	1624	241	177.32	+	1.36	7.77E-06	6.18E-04
negative regulation of cellular biosynthetic process (GO:0031327)	1594	236	174.04	+	1.36	1.15E-05	8.96E-04
regulation of catalytic activity (GO:0050790)	2373	351	259.09	+	1.35	3.94E-08	4.42E-06
positive regulation of signal transduction (GO:0009967)	1528	226	166.83	+	1.35	1.68E-05	1.27E-03
regulation of apoptotic process (GO:0042981)	1468	217	160.28	+	1.35	3.01E-05	2.15E-03
positive regulation of metabolic process (GO:0009893)	3858	570	421.23	+	1.35	2.97E-13	8.18E-11
positive regulation of intracellular signal transduction (GO:1902533)	999	147	109.08	+	1.35	7.70E-04	3.33E-02
regulation of cellular metabolic process (GO:0031323)	5647	830	616.56	+	1.35	1.90E-20	1.35E-17
organonitrogen compound metabolic process (GO:1901564)	5013	736	547.34	+	1.34	2.46E-17	1.10E-14
positive regulation of cell communication (GO:0010647)	1696	248	185.18	+	1.34	1.38E-05	1.06E-03
regulation of signal transduction (GO:0009966)	2989	437	326.35	+	1.34	1.80E-09	2.69E-07
regulation of programmed cell death (GO:0043067)	1498	219	163.56	+	1.34	5.08E-05	3.33E-03
central nervous system development (GO:0007417)	1034	151	112.90	+	1.34	9.27E-04	3.89E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1562	228	170.55	+	1.34	3.48E-05	2.45E-03
response to endogenous stimulus (GO:0009719)	1371	200	149.69	+	1.34	1.30E-04	7.39E-03
positive regulation of signaling (GO:0023056)	1701	248	185.72	+	1.34	1.69E-05	1.27E-03
regulation of cell communication (GO:0010646)	3369	489	367.84	+	1.33	3.65E-10	6.36E-08
negative regulation of RNA metabolic process (GO:0051253)	1435	208	156.68	+	1.33	1.27E-04	7.19E-03
regulation of signaling (GO:0023051)	3381	490	369.15	+	1.33	3.87E-10	6.67E-08
negative regulation of macromolecule biosynthetic process (GO:0010558)	1533	222	167.38	+	1.33	7.23E-05	4.50E-03
negative regulation of signal transduction (GO:0009968)	1257	182	137.24	+	1.33	3.56E-04	1.75E-02
negative regulation of cellular process (GO:0048523)	4732	684	516.66	+	1.32	1.72E-14	5.19E-12
positive regulation of cellular process (GO:0048522)	5670	818	619.08	+	1.32	5.49E-18	2.78E-15
regulation of developmental process (GO:0050793)	2489	358	271.76	+	1.32	4.35E-07	4.19E-05
negative regulation of signaling (GO:0023057)	1363	196	148.82	+	1.32	2.97E-04	1.50E-02
regulation of nitrogen compound metabolic process (GO:0051171)	5709	817	623.33	+	1.31	4.30E-17	1.87E-14
negative regulation of biological process (GO:0048519)	5314	760	580.21	+	1.31	1.69E-15	5.63E-13
negative regulation of cell communication (GO:0010648)	1357	194	148.16	+	1.31	4.05E-04	1.95E-02
regulation of phosphorylation (GO:0042325)	1248	178	136.26	+	1.31	7.93E-04	3.39E-02
response to oxygen-containing compound (GO:1901700)	1551	221	169.35	+	1.31	1.82E-04	9.62E-03
regulation of primary metabolic process (GO:0080090)	5872	835	641.13	+	1.30	6.30E-17	2.60E-14
regulation of gene expression (GO:0010468)	4855	689	530.09	+	1.30	4.39E-13	1.19E-10
regulation of macromolecule metabolic process (GO:0060255)	6214	881	678.47	+	1.30	8.66E-18	4.12E-15
negative regulation of response to stimulus (GO:0048585)	1620	229	176.88	+	1.29	2.07E-04	1.08E-02
regulation of metabolic process (GO:0019222)	6754	954	737.43	+	1.29	1.88E-19	1.23E-16
regulation of molecular function (GO:0065009)	3094	436	337.82	+	1.29	1.21E-07	1.25E-05
positive regulation of biological process (GO:0048518)	6304	884	688.30	+	1.28	1.10E-16	4.31E-14
regulation of cellular biosynthetic process (GO:0031326)	4102	575	447.87	+	1.28	7.83E-10	1.25E-07
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4067	570	444.05	+	1.28	9.81E-10	1.54E-07
regulation of biosynthetic process (GO:0009889)	4163	583	454.54	+	1.28	5.81E-10	9.48E-08
regulation of macromolecule biosynthetic process (GO:0010556)	3938	551	429.97	+	1.28	2.93E-09	4.07E-07
response to organic substance (GO:0010033)	2704	378	295.23	+	1.28	2.36E-06	2.07E-04
regulation of RNA metabolic process (GO:0051252)	3752	522	409.66	+	1.27	1.92E-08	2.25E-06
positive regulation of molecular function (GO:0044093)	1590	221	173.60	+	1.27	6.36E-04	2.84E-02
localization (GO:0051179)	4566	632	498.54	+	1.27	4.53E-10	7.63E-08
regulation of response to stimulus (GO:0048583)	4034	549	440.45	+	1.25	1.13E-07	1.19E-05
regulation of localization (GO:0032879)	2104	284	229.72	+	1.24	5.56E-04	2.55E-02
cellular response to organic substance (GO:0071310)	2026	272	221.21	+	1.23	1.00E-03	4.16E-02
cellular response to chemical stimulus (GO:0070887)	2616	351	285.63	+	1.23	1.43E-04	7.93E-03
establishment of localization (GO:0051234)	3997	536	436.41	+	1.23	9.33E-07	8.76E-05
positive regulation of response to stimulus (GO:0048584)	2223	297	242.72	+	1.22	6.62E-04	2.94E-02
transport (GO:0006810)	3840	513	419.27	+	1.22	3.00E-06	2.59E-04
regulation of nucleic acid-templated transcription (GO:1903506)	3456	457	377.34	+	1.21	3.20E-05	2.27E-03
regulation of RNA biosynthetic process (GO:2001141)	3465	458	378.32	+	1.21	3.26E-05	2.30E-03
regulation of DNA-templated transcription (GO:0006355)	3454	456	377.12	+	1.21	4.09E-05	2.78E-03
response to stress (GO:0006950)	3466	453	378.43	+	1.20	9.99E-05	5.93E-03
regulation of multicellular organismal process (GO:0051239)	2750	358	300.26	+	1.19	9.46E-04	3.95E-02
multicellular organism development (GO:0007275)	4228	544	461.63	+	1.18	6.58E-05	4.16E-03
cellular process (GO:0009987)	15044	1922	1642.57	+	1.17	1.74E-41	4.55E-38
system development (GO:0048731)	3838	490	419.05	+	1.17	3.54E-04	1.74E-02
cellular developmental process (GO:0048869)	3542	451	386.73	+	1.17	8.53E-04	3.59E-02
anatomical structure development (GO:0048856)	5144	654	561.65	+	1.16	2.82E-05	2.03E-03
developmental process (GO:0032502)	5677	717	619.84	+	1.16	1.85E-05	1.38E-03
regulation of cellular process (GO:0050794)	11187	1388	1221.45	+	1.14	1.71E-11	3.71E-09
regulation of biological process (GO:0050789)	11806	1464	1289.03	+	1.14	8.89E-13	2.28E-10
biological regulation (GO:0065007)	12544	1536	1369.61	+	1.12	4.89E-12	1.13E-09
biological_process (GO:0008150)	17864	2126	1950.47	+	1.09	2.30E-31	4.01E-28
system process (GO:0003008)	2079	173	226.99	-	.76	2.22E-04	1.15E-02
immune response (GO:0006955)	1621	127	176.99	-	.72	1.18E-04	6.80E-03
nervous system process (GO:0050877)	1465	93	159.96	-	.58	1.95E-08	2.27E-06
Unclassified (UNCLASSIFIED)	2725	122	297.53	-	.41	2.30E-31	3.61E-28
G protein-coupled receptor signaling pathway (GO:0007186)	1223	53	133.53	-	.40	8.82E-15	2.82E-12
adaptive immune response (GO:0002250)	659	26	71.95	-	.36	2.18E-09	3.20E-07
defense response to bacterium (GO:0042742)	376	14	41.05	-	.34	4.34E-06	3.64E-04
immunoglobulin mediated immune response (GO:0016064)	192	7	20.96	-	.33	1.14E-03	4.62E-02
B cell mediated immunity (GO:0019724)	196	7	21.40	-	.33	8.37E-04	3.54E-02
humoral immune response (GO:0006959)	339	12	37.01	-	.32	7.54E-06	6.07E-04
sensory perception (GO:0007600)	997	35	108.86	-	.32	1.13E-15	3.84E-13
cell recognition (GO:0008037)	230	8	25.11	-	.32	2.58E-04	1.33E-02
homophilic cell adhesion via plasma membrane adhesion molecules (GO:0007156)	170	5	18.56	-	.27	7.74E-04	3.32E-02
detection of stimulus (GO:0051606)	686	15	74.90	-	.20	3.90E-16	1.39E-13
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	125	2	13.65	-	.15	4.44E-04	2.09E-02
detection of stimulus involved in sensory perception (GO:0050906)	560	6	61.14	-	.10	2.36E-18	1.28E-15
sensory perception of chemical stimulus (GO:0007606)	551	5	60.16	-	.08	8.77E-19	4.91E-16
sensory perception of smell (GO:0007608)	470	4	51.32	-	.08	1.43E-16	5.48E-14
complement activation, classical pathway (GO:0006958)	121	1	13.21	-	.08	9.01E-05	5.43E-03
complement activation (GO:0006956)	140	1	15.29	-	.07	1.25E-05	9.67E-04
detection of chemical stimulus (GO:0009593)	526	3	57.43	-	.05	4.69E-20	3.20E-17
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	1	48.37	-	.02	6.34E-19	3.68E-16
detection of chemical stimulus involved in sensory perception (GO:0050907)	489	1	53.39	-	.02	4.42E-21	3.30E-18
