GO biological process complete	Homo sapiens - REFLIST (20589)	upload_1 (2248)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nucleobase-containing compound metabolic process (GO:0006139)	2825	451	308.45	+	1.46	6.51E-15	1.82E-12
programmed cell death (GO:0012501)	1074	171	117.26	+	1.46	6.30E-06	5.85E-04
primary metabolic process (GO:0044238)	7228	1145	789.19	+	1.45	8.04E-48	3.15E-44
macromolecule metabolic process (GO:0043170)	5941	938	648.67	+	1.45	9.89E-35	1.41E-31
cellular aromatic compound metabolic process (GO:0006725)	3050	481	333.01	+	1.44	3.74E-15	1.11E-12
negative regulation of protein metabolic process (GO:0051248)	1042	163	113.77	+	1.43	2.31E-05	1.81E-03
cell death (GO:0008219)	1108	173	120.98	+	1.43	1.64E-05	1.34E-03
nucleic acid metabolic process (GO:0090304)	2276	354	248.50	+	1.42	2.13E-10	4.63E-08
organic substance metabolic process (GO:0071704)	7697	1195	840.39	+	1.42	7.51E-47	2.35E-43
organic cyclic compound metabolic process (GO:1901360)	3292	510	359.44	+	1.42	5.91E-15	1.68E-12
protein-containing complex organization (GO:0043933)	1423	220	155.37	+	1.42	1.71E-06	1.77E-04
metabolic process (GO:0008152)	8131	1255	887.78	+	1.41	1.53E-49	1.20E-45
response to organonitrogen compound (GO:0010243)	968	148	105.69	+	1.40	1.63E-04	9.46E-03
regulation of protein metabolic process (GO:0051246)	2587	393	282.46	+	1.39	2.69E-10	5.78E-08
regulation of protein localization (GO:0032880)	850	129	92.81	+	1.39	5.42E-04	2.53E-02
cellular lipid metabolic process (GO:0044255)	928	140	101.32	+	1.38	4.12E-04	2.04E-02
regulation of cellular localization (GO:0060341)	962	145	105.04	+	1.38	3.47E-04	1.77E-02
negative regulation of cell death (GO:0060548)	1022	154	111.59	+	1.38	2.35E-04	1.30E-02
RNA metabolic process (GO:0016070)	1635	246	178.52	+	1.38	2.17E-06	2.15E-04
protein-containing complex assembly (GO:0065003)	1270	191	138.66	+	1.38	3.52E-05	2.60E-03
protein modification process (GO:0036211)	2658	399	290.21	+	1.37	6.44E-10	1.33E-07
negative regulation of gene expression (GO:0010629)	902	135	98.48	+	1.37	7.54E-04	3.25E-02
heterocycle biosynthetic process (GO:0018130)	1079	161	117.81	+	1.37	2.30E-04	1.28E-02
cellular component biogenesis (GO:0044085)	2633	391	287.48	+	1.36	3.39E-09	5.84E-07
regulation of cell death (GO:0010941)	1654	242	180.59	+	1.34	1.60E-05	1.34E-03
macromolecule modification (GO:0043412)	2883	421	314.78	+	1.34	4.81E-09	8.03E-07
organic cyclic compound biosynthetic process (GO:1901362)	1216	177	132.77	+	1.33	3.44E-04	1.76E-02
regulation of programmed cell death (GO:0043067)	1498	218	163.56	+	1.33	6.12E-05	4.21E-03
response to nitrogen compound (GO:1901698)	1062	154	115.95	+	1.33	1.07E-03	4.32E-02
cellular component assembly (GO:0022607)	2394	347	261.39	+	1.33	3.36E-07	3.90E-05
phosphorus metabolic process (GO:0006793)	1881	272	205.38	+	1.32	1.00E-05	8.87E-04
positive regulation of protein metabolic process (GO:0051247)	1515	219	165.41	+	1.32	9.35E-05	6.08E-03
establishment of localization (GO:0051234)	3997	577	436.41	+	1.32	7.83E-12	1.92E-09
aromatic compound biosynthetic process (GO:0019438)	1089	157	118.90	+	1.32	1.22E-03	4.80E-02
regulation of apoptotic process (GO:0042981)	1468	211	160.28	+	1.32	1.76E-04	1.01E-02
regulation of response to stress (GO:0080134)	1373	197	149.91	+	1.31	3.12E-04	1.62E-02
localization (GO:0051179)	4566	655	498.54	+	1.31	3.77E-13	9.70E-11
lipid metabolic process (GO:0006629)	1234	177	134.73	+	1.31	6.32E-04	2.80E-02
phosphate-containing compound metabolic process (GO:0006796)	1855	266	202.54	+	1.31	2.11E-05	1.67E-03
transport (GO:0006810)	3840	549	419.27	+	1.31	1.44E-10	3.18E-08
positive regulation of nitrogen compound metabolic process (GO:0051173)	3174	451	346.55	+	1.30	2.54E-08	3.65E-06
positive regulation of macromolecule biosynthetic process (GO:0010557)	1943	275	212.15	+	1.30	3.61E-05	2.63E-03
regulation of protein modification process (GO:0031399)	1563	221	170.66	+	1.30	2.65E-04	1.44E-02
positive regulation of cellular biosynthetic process (GO:0031328)	2048	289	223.61	+	1.29	2.86E-05	2.17E-03
positive regulation of biosynthetic process (GO:0009891)	2087	294	227.87	+	1.29	2.44E-05	1.90E-03
response to stress (GO:0006950)	3466	484	378.43	+	1.28	5.29E-08	7.40E-06
cellular component organization or biogenesis (GO:0071840)	5727	798	625.30	+	1.28	5.78E-14	1.56E-11
positive regulation of metabolic process (GO:0009893)	3858	537	421.23	+	1.27	1.01E-08	1.56E-06
positive regulation of macromolecule metabolic process (GO:0010604)	3542	491	386.73	+	1.27	9.40E-08	1.18E-05
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	2058	284	224.70	+	1.26	1.38E-04	8.25E-03
cellular component organization (GO:0016043)	5523	760	603.03	+	1.26	5.15E-12	1.28E-09
positive regulation of cellular metabolic process (GO:0031325)	3122	429	340.87	+	1.26	1.97E-06	1.98E-04
regulation of cellular component organization (GO:0051128)	2364	322	258.11	+	1.25	1.11E-04	7.00E-03
positive regulation of RNA metabolic process (GO:0051254)	1848	251	201.77	+	1.24	9.33E-04	3.91E-02
negative regulation of cellular metabolic process (GO:0031324)	2264	307	247.19	+	1.24	2.21E-04	1.23E-02
cellular response to organic substance (GO:0071310)	2026	272	221.21	+	1.23	1.00E-03	4.14E-02
response to organic substance (GO:0010033)	2704	363	295.23	+	1.23	1.04E-04	6.68E-03
cellular response to chemical stimulus (GO:0070887)	2616	349	285.63	+	1.22	2.13E-04	1.20E-02
regulation of catalytic activity (GO:0050790)	2373	316	259.09	+	1.22	5.62E-04	2.56E-02
negative regulation of metabolic process (GO:0009892)	2988	396	326.24	+	1.21	1.19E-04	7.40E-03
regulation of cellular metabolic process (GO:0031323)	5647	744	616.56	+	1.21	2.18E-08	3.19E-06
negative regulation of macromolecule metabolic process (GO:0010605)	2764	362	301.79	+	1.20	6.08E-04	2.70E-02
regulation of metabolic process (GO:0019222)	6754	884	737.43	+	1.20	7.71E-10	1.57E-07
regulation of nitrogen compound metabolic process (GO:0051171)	5709	747	623.33	+	1.20	6.40E-08	8.58E-06
regulation of primary metabolic process (GO:0080090)	5872	766	641.13	+	1.19	5.48E-08	7.61E-06
regulation of biosynthetic process (GO:0009889)	4163	543	454.54	+	1.19	1.61E-05	1.33E-03
regulation of cellular biosynthetic process (GO:0031326)	4102	534	447.87	+	1.19	2.66E-05	2.05E-03
regulation of molecular function (GO:0065009)	3094	402	337.82	+	1.19	4.86E-04	2.32E-02
regulation of macromolecule metabolic process (GO:0060255)	6214	802	678.47	+	1.18	1.16E-07	1.43E-05
regulation of macromolecule biosynthetic process (GO:0010556)	3938	508	429.97	+	1.18	1.07E-04	6.83E-03
positive regulation of cellular process (GO:0048522)	5670	725	619.08	+	1.17	3.26E-06	3.17E-04
negative regulation of biological process (GO:0048519)	5314	674	580.21	+	1.16	2.45E-05	1.90E-03
negative regulation of cellular process (GO:0048523)	4732	599	516.66	+	1.16	1.25E-04	7.64E-03
cellular process (GO:0009987)	15044	1900	1642.57	+	1.16	5.81E-35	9.11E-32
positive regulation of biological process (GO:0048518)	6304	794	688.30	+	1.15	6.34E-06	5.85E-04
regulation of gene expression (GO:0010468)	4855	608	530.09	+	1.15	2.95E-04	1.57E-02
biological_process (GO:0008150)	17864	2116	1950.47	+	1.08	1.14E-27	7.78E-25
cell communication (GO:0007154)	5342	512	583.26	-	.88	1.03E-03	4.22E-02
signal transduction (GO:0007165)	4887	464	533.58	-	.87	9.49E-04	3.96E-02
multicellular organismal process (GO:0032501)	6581	620	718.54	-	.86	1.86E-05	1.50E-03
signaling (GO:0023052)	5231	490	571.14	-	.86	1.63E-04	9.45E-03
cell surface receptor signaling pathway (GO:0007166)	2174	187	237.37	-	.79	7.81E-04	3.36E-02
immune response (GO:0006955)	1621	118	176.99	-	.67	3.89E-06	3.72E-04
cell-cell signaling (GO:0007267)	1083	75	118.25	-	.63	3.94E-05	2.83E-03
cell adhesion (GO:0007155)	969	67	105.80	-	.63	1.16E-04	7.24E-03
sensory organ development (GO:0007423)	582	38	63.55	-	.60	1.01E-03	4.17E-02
system process (GO:0003008)	2079	125	226.99	-	.55	1.73E-13	4.61E-11
synaptic signaling (GO:0099536)	461	25	50.33	-	.50	2.03E-04	1.15E-02
chemical synaptic transmission (GO:0007268)	414	22	45.20	-	.49	3.29E-04	1.70E-02
anterograde trans-synaptic signaling (GO:0098916)	414	22	45.20	-	.49	3.29E-04	1.69E-02
trans-synaptic signaling (GO:0099537)	431	22	47.06	-	.47	1.21E-04	7.49E-03
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	315	16	34.39	-	.47	1.08E-03	4.33E-02
Unclassified (UNCLASSIFIED)	2725	132	297.53	-	.44	1.14E-27	7.45E-25
nervous system process (GO:0050877)	1465	67	159.96	-	.42	3.60E-16	1.13E-13
sensory organ morphogenesis (GO:0090596)	279	12	30.46	-	.39	4.67E-04	2.25E-02
adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)	234	9	25.55	-	.35	4.74E-04	2.28E-02
adaptive immune response (GO:0002250)	659	25	71.95	-	.35	8.95E-10	1.80E-07
cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	267	10	29.15	-	.34	1.47E-04	8.67E-03
sensory perception (GO:0007600)	997	35	108.86	-	.32	1.13E-15	3.40E-13
humoral immune response (GO:0006959)	339	11	37.01	-	.30	2.01E-06	2.01E-04
B cell mediated immunity (GO:0019724)	196	6	21.40	-	.28	3.11E-04	1.63E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1223	35	133.53	-	.26	2.84E-23	1.59E-20
immunoglobulin mediated immune response (GO:0016064)	192	5	20.96	-	.24	1.01E-04	6.54E-03
phagocytosis, engulfment (GO:0006911)	132	3	14.41	-	.21	1.17E-03	4.64E-02
digestive tract development (GO:0048565)	132	3	14.41	-	.21	1.17E-03	4.63E-02
nephron development (GO:0072006)	135	3	14.74	-	.20	8.04E-04	3.42E-02
detection of external stimulus (GO:0009581)	137	3	14.96	-	.20	5.59E-04	2.56E-02
detection of abiotic stimulus (GO:0009582)	139	3	15.18	-	.20	5.65E-04	2.57E-02
complement activation (GO:0006956)	140	3	15.29	-	.20	5.76E-04	2.60E-02
detection of stimulus (GO:0051606)	686	11	74.90	-	.15	4.43E-19	1.78E-16
detection of chemical stimulus (GO:0009593)	526	5	57.43	-	.09	8.93E-18	3.26E-15
sensory perception of chemical stimulus (GO:0007606)	551	5	60.16	-	.08	8.77E-19	3.35E-16
sensory perception of smell (GO:0007608)	470	4	51.32	-	.08	1.43E-16	4.58E-14
complement activation, classical pathway (GO:0006958)	121	1	13.21	-	.08	9.01E-05	5.89E-03
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	125	1	13.65	-	.07	6.09E-05	4.21E-03
detection of stimulus involved in sensory perception (GO:0050906)	560	3	61.14	-	.05	1.93E-21	8.92E-19
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	443	1	48.37	-	.02	6.34E-19	2.49E-16
detection of chemical stimulus involved in sensory perception (GO:0050907)	489	1	53.39	-	.02	4.42E-21	1.98E-18
phagocytosis, recognition (GO:0006910)	107	0	11.68	-	 < 0.01	2.58E-05	2.00E-03
